uid,monetary,purchase_recency,frequency,r_quartile,m_quartile,f_quartile,RFM_seg,RFM_score,RFM_seg_label
Jlrefrih,64.99,55,1,1,4,1,114,6,Big Spenders
Wvd3nWWf,34.99,55,1,1,3,1,113,5,Other
i6PuDjPE,16.99,55,1,1,2,1,112,4,Other
8CE5FE8G,264.91,25,9,4,4,4,444,12,Champions
BnjtCxyd,3.99,55,1,1,1,1,111,3,Lost Cheap Customers
HEcuwIgF,3.99,55,1,1,1,1,111,3,Lost Cheap Customers
6kjDGsgf,1.98,48,2,1,1,2,121,4,Other
t1XI3HrY,14.940000000000001,48,6,1,2,4,142,7,Loyal Customers
QTtvrY7F,8.99,55,1,1,2,1,112,4,Other
Xq3E4jR3,6.960000000000001,46,4,1,2,3,132,6,Other
SLGyqpSv,3.99,55,1,1,1,1,111,3,Lost Cheap Customers
5JLWDOg4,0.99,55,1,1,1,1,111,3,Lost Cheap Customers
TdTGgkOf,32.81999999999999,23,18,4,3,4,443,11,Other
QkjhJhx6,3.99,55,1,1,1,1,111,3,Lost Cheap Customers
kQupNky7,0.99,55,1,1,1,1,111,3,Lost Cheap Customers
bodevnCf,52.95,23,5,4,4,4,444,12,Champions
ryXrrqul,8.99,55,1,1,2,1,112,4,Other
h6dECLLH,0.99,55,1,1,1,1,111,3,Lost Cheap Customers
cNn5eNDx,3.99,55,1,1,1,1,111,3,Lost Cheap Customers
Hieqr4cg,8.99,55,1,1,2,1,112,4,Other
ktWuJyQ3,8.99,55,1,1,2,1,112,4,Other
MobUqmrX,18.97,47,3,1,3,3,133,7,Other
i2XIC2D4,26.969999999999995,34,3,2,3,3,233,8,Other
uEHvblvq,16.99,55,1,1,2,1,112,4,Other
sUscyfd5,3.99,55,1,1,1,1,111,3,Lost Cheap Customers
5mgsFbUb,16.94,50,6,1,2,4,142,7,Loyal Customers
EKHtDgJF,30.96,40,4,2,3,3,233,8,Other
HXgRiFJB,3.99,55,1,1,1,1,111,3,Lost Cheap Customers
1NrIDFDi,8.99,55,1,1,2,1,112,4,Other
iHRuGpsi,17.98,47,2,1,3,2,123,6,Other
NqfFqqkj,51.980000000000004,55,2,1,4,2,124,7,Big Spenders
RkcUgvnQ,7.98,48,2,1,2,2,122,5,Other
Li6Od5p6,0.99,55,1,1,1,1,111,3,Lost Cheap Customers
ItwnkWcW,64.99,54,1,1,4,1,114,6,Big Spenders
urfCseiX,16.99,54,1,1,2,1,112,4,Other
8EJsDsxm,256.79,32,21,3,4,4,344,11,Other
p6oFp1Xw,200.92000000000002,40,8,2,4,4,244,10,Almost Lost
ORrenkdr,30.939999999999998,44,6,1,3,4,143,8,Loyal Customers
fef6NiI1,7.98,34,2,2,2,2,222,6,Other
IshgcOKn,29.97,53,3,1,3,3,133,7,Other
loLlp6th,30.9,25,10,4,3,4,443,11,Other
48IXDVXW,1.98,53,2,1,1,2,121,4,Other
TmRBYmfP,522.7500000000001,23,25,4,4,4,444,12,Champions
TQiVHo6J,34.99,54,1,1,3,1,113,5,Other
XemGYu86,115.88999999999997,23,11,4,4,4,444,12,Champions
MmVcU6Bu,8.99,54,1,1,2,1,112,4,Other
Ltd8tn67,8.99,54,1,1,2,1,112,4,Other
ul1sg5Po,64.99,54,1,1,4,1,114,6,Big Spenders
4riOwgoq,64.99,54,1,1,4,1,114,6,Big Spenders
sCNUhYoQ,16.99,54,1,1,2,1,112,4,Other
GhKubutM,16.99,54,1,1,2,1,112,4,Other
EUnxHoNm,50.97,52,3,1,4,3,134,8,Big Spenders
WNkNDP7B,17.98,49,2,1,3,2,123,6,Other
vYw3Xwju,98.91999999999999,24,8,4,4,4,444,12,Champions
YXPYt4pB,3.99,54,1,1,1,1,111,3,Lost Cheap Customers
vQlBXqiO,3.99,54,1,1,1,1,111,3,Lost Cheap Customers
D1goGjGG,4.98,54,2,1,1,2,121,4,Other
7ycttdY7,75.91999999999999,33,8,2,4,4,244,10,Almost Lost
6XYQjnx5,3.99,54,1,1,1,1,111,3,Lost Cheap Customers
skfmOc6J,0.99,54,1,1,1,1,111,3,Lost Cheap Customers
m4TLO5Di,0.99,54,1,1,1,1,111,3,Lost Cheap Customers
J1HHYS4T,0.99,54,1,1,1,1,111,3,Lost Cheap Customers
HKhuvSRJ,132.84999999999997,25,15,4,4,4,444,12,Champions
bhpCLTE4,31.950000000000003,39,5,2,3,4,243,9,Loyal Customers
